kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER anj kan bener ada jurig malem,"USER anjir, bener pisan aya jurig peuting, kan.","USER woy, serius atuh, tadi malem aya jurig euy.","USER yaampun anj, kaget pisan, jurigna bener-bener muncul peuting.","USER ih, beneran aya jurig malem teh, merinding abis.","USER sumpah, kamari peuting aya jurig, kan bener anu dicaritakeun.",not hate speech
"setelah gue liat ternyata cuma punya 2500 coa😁 kurangnya banyak jg, kanjut☺️","barusan gue cek, eta mah cuma 2500 coa doang 😅 kurangna loba pisan, lanjut we lah 😁","udah gue liat, ngan ukur 2500 coa wkwk, kurangna masih kénéh jauh, sok atuh lanjut 😌","tadi gue lihat ternyata baru 2500 coa, kurangna rada loba jg, kumaha deui, kanjut we 😊","gue cek deui, ternyata 2500 coa hungkul 😬 kurangna mah beurat, tapi hayu lanjut wae 😉","setelah gue liat, masih 2500 coa weh 😁 kurangna kacida, sabar heula teruskeun deui atuh 😇",not hate speech
"Keputer lagu itu keinget dulu hape aing masih cybershot ngedengerin dijero angkot cikudapateh pas smp, jir aing geus bapa bapa 😭😭","Anjir keputer lagu eta, langsung keinget jaman SMP di angkot Cikudapateh, hape aing masih Cybershot; ayeuna mah aing geus bapa-bapa we 😭","Pas lagu eta muter teh, nostalgia pisan; dulu aing ngadenge dijero angkot Cikudapateh make hape Cybershot, ayeuna mah geus jadi bapa-bapa atuh 😅","Keplay lagu eta, jadi inget baheula SMP: di angkot Cikudapateh ngadenge make SE Cybershot; ayeuna mah karasa umur, aing bapa-bapa 😂","Denger lagu itu teh auto kebawa balik ka jaman hape aing Cybershot di angkot Cikudapateh pas SMP; ayeuna mah rada kolot we, tapi hate masih budak 😌","Lagu eta auto throwback, dulu dijero angkot Cikudapateh aing ngadenge make Cybershot; ayeuna mah geus jadi bapa-bapa we, hihi",not hate speech
"deminya aing lg bdmd besar sm si ezi tp suster keknya lg telponan gituan, aing kan diruang tamu ya krn kasur akeu dipipisin kuzo jd lg dijemur krn abis di cuci. AING LG DI SOFA SCROLL TIKTOK DAN TBTB AING MENDENGAR SUARA U GENG KNOW DARI KAMAR SUSTER AING TERGANGGU BGT. https://t.co/bZgSY2epNV","demi aing keur bdmd gede bareng si Ezi, tapi suster kayana lagi telpon anu “gituan”. aing di ruang tamu soalnya kasur aing dipipisin ku Kuzo jadi keur dijemur. di sofa aing lagi scroll TikTok, tbtb kadenge sora you-know ti kamar suster, jadi kaganggu pisan.","punten, tadi aing di ruang tamu (kasur keur dijemur sabab dipipisin ku Kuzo), di sofa scroll TikTok. tbtb kadenge sora “u know what” ti kamar suster. jujur rada teu nyaman, mugi tiasa dipelankeun volumna.","barusan aing jeung si Ezi lagi ngobrol, mood teh lagi turun. suster sigana nuju telpon rada intim. soalnya kasur aing keur dijemur, jadi nunggu di sofa sambil TikTok-an. eh tbtb aya sora you-know ti kamar suster, bikin aing keganggu saeutik.","settingan na kieu: kasur aing dipipisin ku Kuzo jadi keur di-jemur. aing cicing di sofa wae, scroll TikTok bari bdmd sama Ezi. teu lila, tbtb aya sound “you know” ti kamar suster. aing jadi awkward wkwk, rada keganggu sakedik.","lagi santai di sofa karena kasur masih dijemur (Kuzo tadi pipis deui), aing scroll TikTok bari chat-an jeung Ezi. tbtb kadenge suara “u geng know” ti kamar suster. aing mohon pisan, next na punten atuh, rada ngaganggu soalnya.",not hate speech
USER Ehhh kehed ngAlutak. Sia nyingkir aying ti GAZA. Teboga benget sugan BAHELA GES TULUNGAN SIA KALAH NGALUTAK AYENA. KOS KACANG LUPA KULIT. GES DIBERE HATE MENTA JAJANTUNG GOBLOG,"Euh KEHED, maneh ngAlutak wae. Sia MINGGIR ti GAZA, aing teu perlu gaya-gayaan maneh. Baheula geus ditulungan, ayeuna malah ngelunjak. KAYA KACANG LUPA KULIT. Dibere ati menta jantung, GOBLOG.","USER, atuh cicing lah kehed. Sia geura nyingkir ti GAZA, ulah sok pahlawan-pahlawanan. Dulu aing nulungan, ayeuna maneh ngelunjak ngAlutak. Kacang lupa kulit pisan. Dibere hate menta jajantung, belegug.","Anjir, kehed pisan maneh. Sia jauhan ti GAZA we, nyusahkeun bae. Baheula ditulung, ayeuna nyolotok ngAlutak. Kacang lupa kulit, nya? Dibere ati menta jantung, dasar GOBLOG.","Kehed, teu boga isin. Sia sok pamer di GAZA siga nu paling berjasa, padahal baheula ku aing ditulungan. Ayeuna mah ngAlutak wae, KACANG LUPA KULIT. Dibere hate menta jajantung, tolol.","Euy, KEHED! Sia geus kaleuleuwihi. Ti GAZA ge sing ngaleos, ulah ngaku-ngaku pahlawan. Baheula ditulungan ku aing, ayeuna mah ngAlutak jeung ngelunjak. Kacang lupa kulit, dibere ati menta jantung, ASU GOBLOG.",hate speech
USER USER ga gitu hitungan pajaknya🤡🤡🤡🤡  lah elu sendiri main di industri apa kehed…  kripto tuh pajaknya per transaksi.. bukan per profit kaya yg nenek lu ajarin,"USER USER pajak tuh bukan gitu, anjir 🤡🤡 Lu kerja di industri apa sih, kehed? Kripto itu dipajakin per transaksi, bukan nunggu profit kayak yang nenek lu sok ajarin.","Wih pinter pisan atuh, USER USER. Pajak dihitung asal gebleg gitu ya? 🤡 Lu main di industri naon sih, kehed? Kripto mah per transaksi, bukan per profit kaya dongeng nenek lu.","USER USER, otak di mana sih? 🤡🤡 Pajaknya bukan gitu, tolol. Lu di industri apa, kehed? Kripto pajaknya per transaksi, bukan per profit kayak yang nenek lu bego-begoan ajarin.","USER USER kebangetan, ngawur pisan. 🤡 Pajak bukan gitu hitungannya. Elu sebenernya main di industri apa, kehed? Kripto mah per transaksi, bukan per profit kayak cerita nenek lu.","USER USER belajar dulu atuh, jangan belegug 🤡🤡 Pajak tuh kagak gitu. Lu main di industri apaan, kehed? Kripto pajaknya per transaksi, bukan per profit kaya yang nenek lu omongin.",hate speech
USER tapi bagus juga si marketingnya buat yg muak denger iklan jurig mulu apa lagi kalo udah malem 😂,"USER lumayan pinter oge marketingna, keur nu geus bosen ngadenge iklan jurig terus, utamana mun geus peuting 😅","USER asli ide marketingna oke pisan, mantuan keur nu muak ku iklan jurig nu sok muncul peuting2 😌","USER sanajan rada ganggu, tapi strategi marketingna masih make sense keur nu capek ngadenge iklan jurig, apalagi mun peuting atuh 🙃","USER mantap sih, marketingna nyieun nu bosen ku iklan jurig jadi teu kesel teuing, utamana mun peuting2 kieu 😁","USER teh kreatif oge marketingna, pas pikeun nu hayang teu kakeunaan iklan jurig mulu, khususna lamun geus peuting 🤭",not hate speech
"Kalo circle pertemanannya aja pada ninggalin dia &amp pada bilang aing ge pernah beunang"" gimana coba? 🤣 Hirup teu gableg kaera nya heran hiii nauzubillah nauzubillah""","Kalo circle pertemanannya pada ninggalin, sabar weh atuh; aing ge pernah beunang hal kayak gitu, hirup mah kadang kitu nya, naudzubillah.","Seriusan kalo circle-nya pada cabut? Aing ge kungsi beunang momen siga kieu; hirup teh teu salawasna enak, heran pisan.","Kalo sampe circle pertemanan bubar, aing ge pernah beunang rasa kieu; hirup mah latihan sabar we, naudzubillah min dzalik.","Wkwk kalo circle pada goyah, aing ge sok beunang kejadian kieu; hirup teh suka teu ngarti, nya, tapi tahan we atuh.","Kalo circle-nya ninggalin maneh, tenang we; aing ge kungsi beunang hal saperti ieu, hirup tetep jalan, insyaAllah, naudzubillah.",not hate speech
"Ditunggu gebrakannya aslan. Eh btw kepo kok sirkelnya aslan manggilnya plok"""" - HAHAHA tunggu yaaaw, sorry meeeen tapi plok itu koplok panjangnya, kayak kata lain dari goblok, GUE lupa siapa yang memulai hal itu tapi gue suka pake ke temen-... #tellonym  https://t.co/atIUYRZ1Ei","Nunggu gebrakannya Aslan atuh, kepo pisan kunaon di sirkelnya dipanggil “plok”? Hehe santuy, “plok” teh versi panjang “koplok”, semacem sinonim “goblok” tapi cuma candaan internal ka sobat-sobat. #tellonym","Semangat, Aslan! Ditunggu gebrakannana euy. Btw rada kepo, di circle nyebutnya “plok” ya? Wkwk tenang we, “plok” mah asalna ti “koplok”, kaya kata lain “goblok” tapi buat becandaan jeung temen. #tellonym","Eh btw nu nanya, kenapa sirkelnya Aslan manggil “plok”? Sori ya, itu tuh turunan “koplok”, mirip “goblok” tapi konteksna fun, candaan we ka babaturan. Nya bari nunggu gebrakan anyar. #tellonym","HAHA nunggu pisan gebrakan Aslan, yaaaw! Nu kepo soal “plok”, eta mah “koplok” panjang, kind of “goblok” versi bercanda doang, dipake di circle barudak we, teu niat nyerang. #tellonym","Ditunggu update Aslan, lur. Oh iya, buat nu kepo: di circle sering nyebut “plok” — becandaan tina “koplok”, kurang leuwih sarua jeung “goblok” tapi friendly, internal joke we ka dulur-dulur. #tellonym",not hate speech
USER Jgn sampe anak jurig liat ini,"USER Ulah nepi ka si anak jurig ningali ieu, tong di-share heula.","USER Jangan sampe si anak jurig baca ieu teh, diam-diam wae atuh.","USER Teu kudu dikirim ka anak jurig, simpen weh heula.","USER Eh ulah di-tag si anak jurig atuh, nanti oge pan rame deui.","USER Mending gak usah dikirim ka anak jurig, nu kitu mah cukup urang wae nu nyaho.",not hate speech
"USER Klo kata org sunda mah beuteung seubeuh, duit weteuh, kanjut baseuh"", kayaknya itu type celeng.... 😜😜😜""","Klo kata urang Sunda mah: beuteung seubeuh, dompet beak, kaos baseuh; pokona komplit pisan, ngakak we 😜","Ceuk batur Sunda mah, beuteung geus seubeuh, duit seret, sendal baseuh; nu penting tetep hepi atuh 😂","Versi Sunda: beuteung seubeuh, duit mepet, jaket baseuh; ala-ala anak kos keur hujanan, santuy pisan euy 😆","Kata org Sunda mah: beuteung seubeuh, dompet ipis, celana baseuh; hade pisan keur bahan canda, ulah baper atuh 😜","Urang Sunda sok nyebut: beuteung seubeuh, duit beak, sepatu baseuh; yaudahlah, ngopi heula we kitu ge 😅",not hate speech
USER USER WKWKWKWKWK itu tuh sebenernya inceran terus soalnya ada jurig di dalem 😭😭😭,"USER USER wkwkwk eta mah jadi incaran wae, soalnya cenah aya jurig di jero 😂👻","Hadeuh USER USER, itu teh incaran mulu, meureun aya jurig di dalemna ya 😭🤣","Si USER USER jadi inceran terus bae, sabab aya jurig di jerona katanya, ngakak atuh wkwk","USER USER, asli lucu, eta tuh beneran incaran terus gara2 aya jurig di dalem, ciyee 😜","WKWK USER USER mah incaran deui we tiap hari, cenah aya jurig nyempil di jero 😅",not hate speech
"Udh di tahap hidup pengen tenang dan mengurangi gegeremet di hati tbtb si jurig secircle sama beberapa temen di IG yg dimana sering bgt mukanya muncul di story. Cape sayaaaah, emang boleh hidup setenang itu cenah 🥹🙏🏼","Lagi di fase hayang tenang, ngurangan gegeremet di hate; tbtb si “jurig” secircle jeung beberapa temen IG muncul wae di story. Capé sayah, emang bisa hirup setenang kitu, cenah 😮‍💨","Aku teh lagi nyari ketenangan, ngirangan gegeremet; eh tbtb si jurig secircle jeung geng IG nongol deui di story tiap poe. Cape euy, boleh ga sih hirup nu lempeng-tenang kitu, cenah.","Pengen mode slow living, ngaleutikan gegeremet di hati. Tiba-tiba si “jurig” secircle plus temen IG sok wara-wiri di story. Capé heula, tapi hayu atuh fokus ka tenangna wae, bisa teu kitu, cenah.","Udah niat calm down, ngurangan gegeremet di hate; terus tbtb si jurig secircle sama beberapa temen IG muncul terus di story. Capé pisan, pengen hirup setenang eta we, cenah 🥲","Sedang usaha sing tenang, ngurangan gegeremet. Tbtb si “jurig” secircle bareng temen-temen IG mucunghul bae di story. Capé sayaaaah, meureun kudu di-mute we biar hirup rada tenang, cenah 🙏",not hate speech
"USER Halahh bacot, ongkoh distri samemeh listing bari kanyataan na ngawaduk hayoh we di undur ongkoh tanggal 28 distri padahal ges listing ti harita keneh, ayena di undur dei ka bulan Desember Jirrr lah Fak kata gue teh, project najis SUNGUT SIA BAU CUBLUK ANYINGG. BUBARRR BUBARRRRR","USER Halah bacot pisan, ongkoh distri samemeh listing loba gaya padahal kanyataan mah ngawaduk, hayoh we diundur. Tanggal 28 cenah? Jir, bullshit. Ti harita keneh ngomong geus listing, ayeuna diundur deui ka Desember. Proyek najis, sungut sia bau cubluk, anying! Bubar atuh, bubar!","Wih salut euy, distri na beuki pinter ngabohong, samemeh listing sok koar, kanyataan mah diundur wae. Tgl 28? Halah, dongeng. Ti baheula ceuk maneh geus listing, ayeuna pindah deui ka Desember. Proyek jijik, sungut sia bau comberan, anying. Bubar we lah.","USER, halah bacot we goblog, ongkoh nyebut distri siap samemeh listing, nyatana mah kacau balau diundur terus. Tanggal 28 teh kamana? Ti harita keneh cenah geus listing, ayeuna Desember deui. Proyek najis, sungut sia bau bangkai cubluk, anjing. Udahan lah, bubar!","Capek ngadenge bacotan, distri sok gaya samemeh listing tapi kanyataan na amburadul, diundur deui wae. Tgl 28 teh gimmick doang, jir. Ti baheula ngomong geus listing, ayeuna pindah ka Desember. Proyek kotor, sungut sia bau cubluk, dasar anying. Bubar bae.","Halahh teu eureun bacot, ongkoh distri ngembal samemeh listing, kanyataanana ngaco hayang diundur mulu. Tanggal 28 teh ngelantur pisan, ti harita keneh ceuk maneh geus listing, ayeuna didorong ka Desember. Proyek sial, sungut sia nyeruak bau cubluk, anying. Bubar ayeuna!",hate speech
"Yakali ga syok ketemu lu bang, kek liat jurig kita bang liat orang ganteng","Ya kali gak kaget ketemu lu, bang; sekilas mah kayak nempo jurig, eh tétéla kamu kasep pisan.","Tadi teh kira-kira bakalan syok, soalnya kaya liat jurig, tapi nyatanya mah abang ganteng atuh.","Sumpah awalna rada deg-degan, kirain jurig, wkwk, padahal anu sumping mah orang ganteng, bang.","Santai we bang, teu usah panik; tadi kegeutan saeutik kaya ningali jurig, tapi deukeut-deukeut mah cakep pisan.","Kirain mah horor pisan kaya jurig, ternyata teh kamu malah ganteng, jadi geus tenang atuh bang.",not hate speech
USER Manguni emang si oramas koplok nu ngabantai umat islam di poso,"USER Manguni mah si oramas koplok, nu ngabantai umat Islam di Poso, teu boga ati pisan.","USER Heuh, Manguni teh ormas bejad, baheula oge nganiaya jeung ngararuksak ka umat Islam di Poso.","USER Si Manguni eta ormas kampungan nu sok gaya pahlawan, padahal nu ngaranggas ka umat Islam di Poso.","USER Manguni ormas teu boga otak, nu nyieun teror ka umat Islam di Poso; bener-bener bangsat.","USER Manguni teh ormas hina, rekam jejakna ngabantai umat Islam di Poso; enya kitu teh banggana maraneh?",hate speech
"emang sepertinya ditodong sama SM bajingan, puki, pukimak, kanjut","Anjir, berasa kaya ditodong ku SM teh, bajingan pisan, puki, pukimak, kanjut!","Kumaha atuh, seakan-akan ditodong sama SM, dasar bajingan, puki, pukimak, kanjut ge!","Dari tadi mah kaya ditodong ku SM we, brengsek bener, puki, pukimak, kanjut, kehed!","Sepertinya mah bener-bener ditodong ku SM, bangsat atuh, puki, pukimak, kanjut, ajig!","Yaelah, mantap pisan we ya, kayak ditodong ku SM, si bajingan, puki, pukimak, kanjut, goblog!",hate speech
"Emang yang namanya paylater pinjol apapun itu. Giliran telat mau berapa hari. DiSpam call, terror WA, SMS, bla bla bikin ketakutan ""bayar gak atau gak bayar skrg blokir slik OJK"".   Giliran dilunasi semua.. ditawari pinjaman baru 10-20 kali lipat. Kehed maneh anjing","Emang paylater/pinjol mah gitu, telat sehari dua hari langsung di-spam call, diteror WA, SMS, diancem “bayar sekarang, kalau enggak SLIK OJK diblok”. Pas lunas malah ditawarin limit 10–20x. Kehed, maneh bangsat pisan, anjing!","Paylater/pinjol teh, telat sakedap wae, telepon runtuy, WA, SMS teu eureun, ngancem “bayar ayeuna atawa SLIK OJK”. Pas dibayar lunas, datang deui tawaran utang sakitu gedena. Aing kesel, maneh anjing goblog!","Sistem paylater pinjol tuh ngaco: telat dikit langsung dikejar-kejar call/WA/SMS sama anceman SLIK. Begitu lunas, malah dirayu limit 20x. Cara maneh kitu teh kampret, dasar anjing.","Telat sabaraha poe di paylater/pinjol, eh langsung diteror, “bayar cepat, lamun teu SLIK OJK di-blokir”. Lunas mah lain beres, malah disodorin pinjaman anyar. Heueuh, teu puguh, kehed maneh, anjing!","Paylater/pinjol gaya na sok ngancem, telat saeutik langsung spam call, WA, SMS. Tapi pas lunas kabeh, ditawari deui hutang gedé. Mun kitu mah, maneh jahanam, anjing!",hate speech
"USER DASAR JURIG, SETAN, IBLIS, KUYANG PUASSS KAN LOOOOOOO RASAINNN","USER dasar jurig siah, setan, iblis, kuyang! Puas teuuuing kan lo? Rasakeun we!","Hei USER, sia teh siga jurig, setan, iblis, kuyang. Puas ayeuna? Rasakeun atuh!","USER goblog pisan; jurig, setan, iblis, kuyang sadayana. Puas can lo? Rasakeun geura!",USER asu! Jurig kehed jeung setan iblis. PUAS KAN LO?! Rasakeun ayeuna!,"Dasar USER, siga jurig keur kalap: setan, iblis, kuyang. Puas pisan nya? Rasaakeun atuh!",hate speech
lg diem keingetan temen aing dibilang bisu sama dosen karena gabisa jawab… pa widdd ajigggg 😭😭😭,"lagi diem kepikiran temen aing dibilang ""bisu"" ku dosen gara2 teu bisa jawab... aduh Pa Wid, kasian pisan euy 😅","keingetan deui momen temen aing nge-freeze, terus ku dosen disebut ""bisu"" soalnya gabisa jawab; Pa Wid teh kumaha atuh 😭","aing bengong we, inget temen aing teu bisa jawab, eh dosen nyeletuk ""bisu""... Pa Wid, cukup lah kitu atuh 😐","sedih campur ngakak, temen aing langsung dibilang ""bisu"" sama dosen cuma gara2 blank; Pa Widddd, santuy we lah 😭😂","teu kuat euy, kebayang deui temen aing ngahuleng, kaburu disebut ""bisu"" ku dosen lantaran teu bisa jawab... Pa Wid ajig, duh atuh 😔",not hate speech
