kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu,eh bocah edan kontol. kenapa sih Indonesia kudu ngikutin Amerika terus?? apa salahnya kita mandiri economically? dolar terus naik merugikan rakyat. dasar goblok sampean,woy asu bangsat. emangnya kenapa kalau Indonesia join BRICS?? sistem keuangan global perlu diversifikasi. USD hegemony wis ra cocok. dasar pekok awakmu,eh tolol kontol. kenapa Indonesia ra oleh build infrastruktur bareng China?? pembangunan port sama railway kan bagus. debt trap narrative iku hoax. dasar bodoh kowe,anjing bangsat sampean. kenapa sih Indonesia kudu ikut Western sanctions?? perdagangan bilateral kan menguntungkan both sides. geopolitik ra usah dicampuri. dasar goblok tenan,woy edan kontol. emangnya salah apa kalau Indonesia diversify energy sources?? renewable energy cooperation iku penting. fossil fuel dependence kudu dikurangi. dasar pekok banget lu,hate speech
"USER Lambemu lamis USER ....  Semua orang pun tahu, bahwa elu cuma bela yang bayar elu... Dasar anak buah Hasto...!!! https://t.co/ShBMACikdp",Awakmu ki memang bangsat tenan... Kabeh wong ngerti kok yen kowe mung jilat sing menehi duit... Dasar kacung partai gedhe...!!!,Mulutmu iku sampah pol... Wong kabeh wis tau yen sira mung nurut sing bayar... Dasar budak duwit kotor...!!!,Lambemu memang ora ono isinya... Sapa wae ngerti kok yen kowe cuma ngibul terus... Dasar tukang tipu rakyat...!!!,Awakmu ki emang brengsek maksimal... Kabeh uwong ngerti yen sira mung antek perusahaan... Dasar pemakan suap...!!!,Cangkemmu iku racun tenan... Sopo wae weruh kok yen kowe mung boneka sing diatur... Dasar kuli politik murahan...!!!,hate speech
USER Ngomong sampai mencos lambemu tetep ae kui sing d tembak wedok bawa bendera putih. Dasar ogeb,Ceramah terus nganti berbusa-busa cangkemmu tetep ae kui sing ditolak perusahaan. Dasar males banget,Ngoceh sampai sumpek kupingku tetep ae kui sing gagal ujian terus. Dasar bodoh,Bacot terus nganti serak tenggorokanmu tetep ae kui sing ditinggal pacarnya. Dasar pecundang,Teriak-teriak sampai abis tenaga tetep ae kui sing nganggur mulu. Dasar pemalas,Ngomong sampai capek lambemu tetep ae kui sing bangkrut bisnisnya. Dasar bego banget,hate speech
"USER Dasar pekok, cuman dapat 16% lowbat, tidak menang di satu propinsipun, masih ngeyel. 😂😂 https://t.co/cLCZMwTWDY","Dasar goblok, cuman menang 2-0 wae wis sombong, kalah telek ae ora ngaku. 😂😂","Pekok tenan iki wong, cuman dapet ranking 10 wis bengak-bengok, padahal skill sampah. 😂😂","Dasar bodoh, bisnis tokped ae bangkrut terus, tapi masih ceramah sukses. 😂😂","Gila iki bocah pekok, nilai ujian 60 ae wis pamer, sing 90 malah ora ngomong. 😂😂","Dasar tolol, follower IG cuman 100 wis ngaku influencer, ora isin opo. 😂😂",hate speech
"USER Plg disogok cuan panitianya. Gpp dek lu ttp pemenangnya tenang j d buktinya jg, panitia j yg picek mtanya.","Wartawan plg disuap duit editornya. Gpp mas lu ttp yang bener tenang ae sing penting, redaktur ae sing picek otaknya.","Hakim plg dikasih amplop lawyernya. Gpp bang lu ttp yang adil santai wae buktinya ono, pengacara ae sing picek nuraninya.","Guru plg dibeliin hadiah muridnya. Gpp bu lu ttp yang pinter tenang j sing penting, siswa ae sing picek akalnya.","Dokter plg dikasih tips keluarganya. Gpp dok lu ttp yang jujur sabar wae evidencenya jelas, pasien ae sing picek fikirannya.","Polisi plg disogokin duit preman. Gpp pak lu ttp yang bersih cool ae faktanya nyata, bandit ae sing picek hatinya.",hate speech
"USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah di omong di sini. 😩 Asu asu. Nambah usia gua mek. Si anying, jangan di sini asu. ️️","Eh BUDI, si gembel kok malah nongol neng kene. 😤 Setan tenan. Bikin kepala mumet tok. Si bangsat, aja neng kene setan.","Woi ANDI, tukang utang malah show up di sini. 😠 Sialan banget. Tambah stress gue aja nih. Si kontol, jangan muncul di sini anjir.","USER RINI nih, si tukang drama malah komen neng kono. 😩 Kampret sih. Bikin mood rusak thok. Si memek, ojo neng kene kampret.","Lah DONI, si bocah nakal kok malah nimbrung kene. 😤 Bangsat emang. Nambah ribet hidup gua doang. Si anjing, aja melu-melu bangsat.","Eh si MAYA, tukang gosip malah ikut-ikutan neng kene. 😠 Tai kucing. Bikin situasi makin chaos wae. Si babi, jangan campur tangan tai.",not hate speech
"gw emg kudu gak berbaik hati sm fandom satu ini, orang orangnya pada gemblung. ga ina ga inter gemblung kabeh","gue emang harus keras sama supporter klub ini, orangnya pada bodoh. ga ngerti bola tapi sok tau kabeh","aku memang kudu tegas sama fans boyband itu, pada tolol. ga bisa bedain talent asli sama settingan gemblung kabeh","gw emg harus kasar sama penggemar artis ini, orang orangnya pada dungu. ga bisa mikir jernih tapi bacot terus gemblung kabeh","ane emang mesti kejam sama komunitas game ini, pada bengong. ga skill tapi sombong kabeh gemblung","gue kudu galak sama follower influencer itu, orangnya pada goblok. cuma bisa ngikut doang ga punya otak gemblung kabeh",hate speech
"Emang jancok, iso isoe wong mu dewe mbok etrek etrek kyk ngene","Bangsat tenan, kok mobil mu dewe mbok rusak-rusak kaya ngene","Anjing tenan, kok rumah mu dewe mbok berantakin kayak gini","Jancuk banget, laptop mu dewe kok mbok mateni kaya gini","Kampret tenan, kok hp mu dewe mbok ancurke kayak ngene","Bajingan banget, kok bisnis mu dewe mbok hancurke kaya gini",hate speech
"USER Agama itu spt Candu yg efeknya lupadiri Diberi saran agar hidup sehat malah marah2 &amp nuduh penistaan, Pe Ka i, dlsb Padahal obat candu itu banyak &amp mudah ditemukan spt seni suara, seni tari dll Candu emg bikin orang Bingung, linglung, gemblung ☺😂😘 https://t.co/Q0X9nMCfqh","Politik iku kaya game online sing efeke lupa karo kenyataan. Dikongkon mikir rasional malah ngamuk-ngamuk lan nuduh macem-macem. Padahal hiburan liyane akeh kok kaya nonton film, maca buku dll. Game online memang bikin wong bingung, linglung, gemblung ☺😂😘","Medsos itu kayak rokok sing efeknya ketagihan terus. Disaranin biar kurangi screen time malah sewot lan nuduh generasi tua gak ngerti jaman. Lha padahal kegiatan offline akeh banget kaya olahraga, masak-masak dll. Medsos emang bikin uwong bingung, linglung, gemblung ☺😂😘","Drama Korea kui ibarat gula sing efeke bikin diabetes mata. Dikandani supaya nonton konten lokal malah marah-marah nuduh rasis. Padahal hiburan Indonesia akeh lan apik-apik kaya wayang, ketoprak dll. Drama Korea memang gawe wong bingung, linglung, gemblung ☺😂😘","Shopping online iku koyok judi sing efeke bokek terus. Disuruh nabung malah ngamuk lan nuduh pelit. Lha ning alternatif seneng-seneng murah akeh kok kaya jalan-jalan, masak bareng dll. Online shopping pancen bikin uwong bingung, linglung, gemblung ☺😂😘","Gosip tetangga kui ibarat virus sing efeke racun pikiran. Dikasih tau biar fokus diri dewe malah sewot nuduh sombong. Padahal kegiatan positif akeh banget kaya berkebun, belajar skill baru dll. Gosip emang gawe wong bingung, linglung, gemblung ☺😂😘",not hate speech
Pingin nikahin yang spek begini tapi kelakuan anda para boyo seperti asu kirik dog,Pengen kerja di perusahaan bagus tapi attitude kalian para freshgrad kayak bajingan semua anjing,Mau beli mobil yang keren gini tapi tingkah laku sales-sales iki kaya asu gembel kabeh,Kepengen punya rumah mewah tapi kelakuan developer-developer kuwi kaya babi ngenes tenan,Pingin kuliah di kampus top tapi sikap mahasiswa-mahasiswa kono kayak setan idiot kabeh,Mau gabung komunitas kece begini tapi behavior member-member mu kaya kontol sampah semua,hate speech
"Dia ngetik begini di qrt tweet yang nunjukin data, lu pikir prediksi dapet data dari mana? lambe mu?","Komentar koyok ngene nang postingan artikel serius, kowe mikir analisis kuwi saka ngendi? sirahe mu?","Ngomong gitu di reply video edukasi, kok bisa mikir kesimpulan dapet dari mana? dengkule mu?","Nyeletuk begini di komen infografis penting, lha terus riset kuwi sumbernya saka ngendi? jidadmu?","Ngegas koyok ngene nang thread diskusi data, kowe kira referensi kuwi metu saka ngendi? bokongmu?","Bacot begitu di kolom komentar laporan resmi, lu kira statistik itu keluar dari mana? ketekmu?",hate speech
USER Lebih kentel kan kalo bangsat apalagi asyuu😭 klo jancok nih kga biasa buat misuh 😭 soalnya klo manggil besti gue pke cok,Luwih pedhes kan kalo pedes apalagi sambel ijo😭 klo lombok iki ora biasa kanggo mangan 😭 soale klo masak rendang gue pake cabe rawit,Lebih asin kan kalo terasi apalagi yang mentah😭 klo petis nih gak biasa buat cocolan 😭 soalnya klo makan pecel gue pake kacang,Luwih angel kan kalo matematika apalagi kalkulus😭 klo fisika iki ora gampang kanggo dipahami 😭 soale klo belajar kimia gue butuh waktu lama,Lebih susah kan kalo motor apalagi yang manual😭 klo mobil nih gak biasa buat nyetir 😭 soalnya klo naik bus gue selalu duduk belakang,Luwih larang kan kalo branded apalagi yang import😭 klo lokal iki ora mampu kanggo tuku 😭 soale klo shopping gue cuma bisa window shopping,not hate speech
"Dasar pekok bin goblok, ngenget jangan nganti gosong. Malah ditinggal garap gawean 😭😭😭","Dasar bodoh bin tolol, masak ae kok nganti gosong. Malah ditinggal nonton tv terus 😭😭😭","Edan tenan iki bocah goblok, nyuci klambi kok nganti luntur. Malah ditinggal main game wae 😭😭😭","Dasar pekok bin edan, ngopi ae kok nganti dingin. Malah ditinggal ngobrol karo kanca 😭😭😭","Bodoh tenan iki wong goblok, nyetir mobil kok nganti nabrak. Malah ditinggal gawe selfie 😭😭😭","Dasar tolol bin dungu, ngajari anak kok nganti nangis. Malah ditinggal browsing medsos 😭😭😭",hate speech
Jancok emng dasar hp kentang problem nya kalo ga memo penuh ya keriset 😭😭😭😭😭,Asuu tenan iki motor jadul masalahnya kalo ga bensin abis ya mesin mogok 😭😭😭😭😭,Jancok emang dasar laptop lemot problemnya kalo ga RAM kurang ya hang total 😭😭😭😭😭,Lah tenan iki WiFi kampret masalahnya kalo ga lemot ya putus-putus terus 😭😭😭😭😭,Maturnuwun banget deh kulkas jadul ini kalo ga mati lampu ya bocor freon 😭😭😭😭😭,Jancok tenan TV tabung kuno masalahnya kalo ga gambar buram ya suara hilang 😭😭😭😭😭,not hate speech
W KALAU JADI YUUJI UDAH BLG MAHITO ANJING LO KONTOL BANGSAT NGENTOOTTTT,"Anjir kalau aku jadi Naruto wis tak omong karo Sasuke ""kontol lo bangsat njing ngeselin tenan!""","Lah yen aku dadi Luffy mesthi wis tak kandani Blackbeard ""bangsat lo anjing kontol kurang ajar!""","Sumpah kalau gue jadi Light pasti udah bilang sama L ""njing lo kontol bangsat menyebalkan banget!""","Astaga yen dadi Goku wis tak omong sama Vegeta ""anjing lo bangsat kontol sombong tenan cok!""","Buset kalau aku jadi Ichigo udah tak teriakin Aizen ""kontol lo njing bangsat penjahat brengsek!""",hate speech
USER USER USER USER USER USER Ada yang ngekor yang mecla mencle cangkeme pun juga ada ndro🤣 https://t.co/NkDWwQ2axt,"Koyoke akeh sing tukang nyinyir ae kerjaane, omongane kok meksa ngeyel terus ta 🤣","Lah iki maneh sing dodolan drama murahan, mulute kok ra iso nutup ya mas 😂","Wes ketok banget sing seneng ngecap-ngecap ga karuan, otakmu opo ra ono filternya to 🤣","Ada ae sing hobi nyolot-nyolot online, tingkahe koyok bocah cilik sing lagi ngambekan 😂","Rame tenan sing seneng bacot sak enake dewe, apa ra malu ta kelakuan koyok ngono 🤣",hate speech
USER Yup kalo gemblung tuh gila,"Lah kok ora ngerti sih, bingung banget deh",Wah kalo lupa mulu ya pusing juga ya mas,Aduh gimana toh kok bisa salah terus gini,Ya ampun kalo begini caranya repot dong,Duh kalo nggak paham ya susah juga kan,not hate speech
infokan lagi trip seperti ini walaupun naik turunnya macet banget jancok https://t.co/AOFUNci85s,"Share lagi event kayak gini meskipun antriannya panjang banget jancok, tapi worth it sih","Kabarin lagi acara seperti ini ya walaupun parkiran susah banget cok, pengalaman berkesan",Update terus kuliner enak gini meski harganya mahal banget jancok tapi nagih rasanya,"Info dong tempat wisata kayak gini walau jalannya rusak banget cok, viewnya keren abis",Bagikan lagi konser seperti ini ya meskipun soundsystemnya jelek banget jancok tapi performernya mantap,not hate speech
"BAYANGIN TD UDAH NGERJAIN 65 SOAL, TRS DIRUMAH LANJUT 25 SOAL GENDENG TOTAL SEJARAH HARI INI 90 SOAL COOO NGOTAK DIKIT.","BAYANGIN TD UDAH MASAK 3 JAM, TRS MALAH ACARA DIBATALIN DADAKAN GENDENG TOTAL CAPEKNYA PERCUMA COO MIKIR DIKIT.","BAYANGKE MBEN UDAH BELAJAR SAMPE JAM 2, EH BESUKE UJIAN DITUNDA GENDENG TOTAL SIA-SIA TENAGAKU COO NALAR DIKIT.","BAYANGIN WIS ANTRI 2 JAM BUAT TIKET, TRS KATANYA SOLD OUT GENDENG TOTAL BUANG WAKTU AE COO OTAK DIKIT.","BAYANGKE UDAH BERANGKAT SUBUH-SUBUH, EH TERNYATA ACARANYA BESOK GENDENG TOTAL SALAH INFO COO LOGIKA DIKIT.","BAYANGIN TADI UDAH NYUCI 3 KERANJANG, TRS UJAN DERES SEMUA BASAH LAGI GENDENG TOTAL ULANG MANEH COO PIKIR DIKIT.",not hate speech
"eh telek join lewat web gabisa cek usn jd hanya berpengang sm total stream, kalo naik brrti aman, lah ini 2 2 nya kaga bisaa trus aku gudu pieeeeeeee, user andro join lewat apk msal dah off air ttp di ch yg ditempatin kaga bakal kelempar otomatis, harus mandiri mindahin😭😭☝","wah telek beli tiket online gabisa pilih kursi jd cuma bisa liat total penumpang, kalo naik berarti masih ada tempat, lah ini keduanya kaga bisa trus aku kudu piye, user ios beli lewat app misal udah sold out ttp di halaman booking kaga bakal kepindah otomatis, harus manual refresh😭😭☝","eh telek daftar kuliah lewat website gabisa cek kuota jd cuma berpegang sama total pendaftar, kalo bertambah berarti masih buka, lah ini dua-duanya kaga work trus aku kudu gimanaaa, mahasiswa android daftar lewat portal misal udah tutup ttp di form yang sama kaga bakal redirect otomatis, harus sendiri pindahin😭😭☝","wah telek order makanan online gabisa tracking jd cuma liat total pesanan, kalo naik brrti driver masih terima, lah ini keduanya kaga jalan trus aku kudu keprieeee, user samsung pesen lewat app misal udah full ttp di resto yang dipilih kaga bakal switch otomatis, harus manual ganti😭😭☝","eh telek booking hotel lewat web gabisa cek availability jd hanya bergantung sm total booking, kalo bertambah berarti masih kosong, lah ini dua-duanya kaga lancar trus aku kudu pripunnn, tamu android book lewat aplikasi misal udah penuh ttp di kamar yang dituju kaga bakal pindah otomatis, harus sendiri mindah😭😭☝","wah telek daftar event lewat website gabisa monitor slot jd cuma ngandalin total registrasi, kalo naik brrti quota masih ada, lah ini keduanya kaga berfungsi trus aku kudu carane, peserta ios register lewat platform misal udah close ttp di acara yang dipilih kaga bakal keluar otomatis, harus manual exit😭😭☝",not hate speech
becky gak pernah pura pura menjadi queer.dan setidaknya becky gak pernah ngejek lesbian gak kayak freen. bukan lesbi kok ngebuat bercandaan soal lesbian. dasar artis pekok 🤡,taylor swift gak pernah pura-pura dadi aktivis lingkungan. lan paling ora taylor gak tau ngece wong miskin gak koyok ariana. sugih kok malah nyinyiri wong susah. dasar penyanyi gemblung 🤡,jin BTS ora tau pura-pura dadi chef profesional. lan paling ora jin gak pernah ngejek wong sing gak iso masak koyok jungkook. ganteng kok malah ngatain wong liya. dasar idol pekok 🤡,raffi ahmad gak pernah pura-pura jadi presenter hebat. dan setidaknya raffi ora tau ngece wong sing gak duwe duit gak kayak andre. kaya raya kok malah nyepelekne rakyat jelata. dasar host goblok 🤡,lisa blackpink ora pernah ngaku-ngaku dadi dancer terbaik. lan paling ora lisa gak tau nyinyiri trainee liyane gak koyok jennie. terkenal kok malah ngeremehne wong liya. dasar idol tolol 🤡,agnes monica gak pernah pura-pura dadi penyanyi internasional sejati. dan minimal agnes ora tau ngejek penyanyi lokal gak kayok raisa. sukses kok malah merendahkan musisi tanah air. dasar artis bodoh 🤡,hate speech
"YANG BUAT SESUKA HATI TU SIAPA JANCOK???!!! KAN UDAH DIBILANG BARU PERTAMA BUAT, BELUM BEGITU PAHAM MASIIIIHHH LA JUGA DIBILANG MAIN SESUKA HATI.. DASAR!!!!!","Yang ngatur playlist musik sesukanya siapa JANCOK???!!! Kan udah dibilang aku lagi sinau taste musik anyar, durung ngerti banget MASIIIIHHH kok malah dibilang asal pilih.. DASAR!!!!!","Yang ngubah jadwal rapat sesuka hati siapa KONTOL???!!! Kan wis tak kandani aku anyar dadi koordinator, belum paham prosedurnya MASIIIIHHH la kok malah dibilang sembarangan.. DASAR!!!!!","Yang parkir mobil sesukanya siapa BANGSAT???!!! Kan udah diomongin aku lagi belajar nyetir, durung begitu bisa MASIIIIHHH kok dibilang parking sembarangan.. DASAR!!!!!","Yang bikin menu catering sesuka hati siapa TOLOL???!!! Kan wis dikandhani aku baru buka usaha kuliner, belum ngerti selera customer MASIIIIHHH la kok dibilang masak asal-asalan.. DASAR!!!!!","Yang setting sound system sesukanya siapa JANCOK???!!! Kan udah dijelasin aku lagi sinau jadi operator audio, durung begitu paham tekniknya MASIIIIHHH kok malah dibilang ngatur sembarangan.. DASAR!!!!!",hate speech
"Udah lh rapat pagi , titipan dari taksi blom datang , llu ndk bisa tidur eh asu lah","Wah udah meeting siang, orderan grab food belum nyampe, terus males banget deh anjir","Hadeh presentasi sore ini, paket JNE belom dateng, malah hujan deres banget lah asu","Capek banget training hari ini, belanjaan indomaret belum dianter, eh malah macet parah anjing","Udah selesai webinar tadi, makanan gofood nggak datang-datang, terus sinyal lemot banget deh asu","Bosen nih nunggu bimbel, motor ojol masih lama, malah kehujanan segala lah anjir",not hate speech
"USER Berarti ras eropa itu memang parasit. Dia datang dan memusnahkan penduduk aslinya. Dari semua ini musuh bersama kita sama yaitu Zionis, Mamarica, dan Silit Global","Ternyata perusahaan multinasional kuwi memang lintah darat. Teka mlebu lan ngrusak ekonomi lokal. Saka kabeh iki musuh kita bareng yaiku kapitalis, oligarki, karo konglomerat jahat.","Jebule influencer luar negeri iku pancen parasit. Dheweke rawuh lan ngrusak budaya tradisional kita. Saka kabeh iki seteru bebarengan kita padha yaiku globalis, media asing, karo elite korup.","Ternyata investor asing kuwi memang benalu. Mlebu terus ngeksploitasi sumber daya alam kita. Kabeh iki mungsuh kita bareng yaiku neoliberalis, korporat jahat, lan sindikat internasional.","Jebule platform digital luar iku pancen kutu. Dheweke nempeli lan mateni kreativitas lokal. Saka iki kabeh lawan kita bebarengan yaiku tech giant, data harvester, karo digital colonizer.","Ternyata brand fashion global kuwi memang cacing. Teka lan ngancurake industri tekstil tradisional. Kabeh iki musuh kita bareng yaiku fast fashion, eksploiter buruh, lan perusak lingkungan.",hate speech
"Klo kemaren si asu ini ga ngehate jy hanya karena berdiri ga bakal enjin marah2 kyk sekarang mungkin kita akan anggap ini kejadian yang lucu tapi kenyataannya enggak kan, trus setelah kalian ngata ngatain malah jy yg minta maaf 🙂","Kalau kemarin si kucing ini ga ngambek cuma gara-gara dikasih makan telat, pasti ora bakal drama kaya gini. Mungkin kita bakal ketawa aja, tapi nyatane malah owner e sing minta maaf terus 🙂","Nek wingi bocah iku ora cranky merga game e lag, mesthi ora bakal tantrum ngene. Harusnya lucu aja kan, tapi ternyata malah ortune sing kudu apologize terus 🙂","Kalo dulu adekku ga ngambek cuma karena wifi lemot, pasti ga bakal rewel kayak gini. Seharusnya kita bisa anggap wajar tok, tapi malah mama e sing harus minta maaf mulu 🙂","Yen mbiyen kancaku ora moody merga hujan deres, mesthi ga bakal complicated kaya saiki. Mestinya hal biasa wae, nanging malah sing ngajak jalan e kudu say sorry terus 🙂","Kalau kemaren tetanggaku ga bad mood gara-gara parkiran penuh, pasti ora bakal ribet begini. Seharusnya kita santai aja, tapi malah security e sing minta maaf berkali-kali 🙂",not hate speech
USER Kalo ini yg Jancok mocca,Lek iki sing bajingan driver ojol e,Wes tau weruh sing asu politikus kae,Mosok iki sing keparat YouTuber e,Lah iki sing jancuk sales e kuwi,Pancen iki sing bangsat wartawan e,hate speech
USER Ogah loa ja dat Bodat 😁😁 cuma kirik Keturunan Gurun Ngacengan apa yg dibanggakan 🤣🤣🤣 https://t.co/MMcynNKTHm,"Ora usah sombong kowe iku, cuma bocah kere kampung apa sing dibanggakan 😂😂😂 gak ada apa-apanya","Gak usah ngomong gede-gedean, wong cuma anak jalanan Surabaya apa yang mau dibanggain 🤣🤣 dasar miskin","Jangan sok kaya lu, cuma keturunan tukang becak Jakarta apaan sih yang diangkat-angkat 😁😁😁 memalukan","Ogah ah debat sama bocah ndeso kaya gini, cuma anak petani desa apa sing dibanggaken 🤣🤣 gak level","Males lah ngurusin orang kayak gini, cuma keturunan pedagang kaki lima Yogya mau bangga apa 😂😂😂 lucu banget",hate speech
