kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER eh narkosuun kontol. maumu indonesia haris kerjasama sama negara mana?? apa salahnya indonesia kerjasama dengan china? perekonomiannya bagus. persyaratannya ga banyak kalau mau investasi. dasar pekok lu,"USER eh matur suwun, kontol. maumu Indonesia kudu kerjasama karo negara endi? emang salah apa Indonesia kerja sama karo China? ekonomine apik, syarate ora akeh nek arep investasi. dasar pekok kowe.","USER woi, makasih apaan sih kontol. menurutmu Indonesia harus kerja sama karo sopo? kenapa kalau Indonesia gawe deal karo China? ekonomine wis apik, syarat-syarate ora ruwet kanggo investasi. pekok tenan kowe.","USER eh, matur nuwun kono kontol. pengennya kamu Indonesia kerjasama karo negara ngendi? opo salahne Indonesia gandeng China? ekonomine oke, syarate gak akeh buat investasi. kowe ki pekok.","USER yaelah, thanks ndasmu kontol. maumu Indonesia kudu kerjasama karo negara mana? salahnya apa Indonesia bareng China? ekonomine bagus, syarate ora ribet kanggo investasi. dasar kowe pekok.","USER eh, matur suwun pala kontol. Indonesia harusnya kerjasama karo sapa menurutmu? apa masalahnya Indonesia kerja bareng China? ekonomine mantap, syaratnya gak banyak buat investasi. pekok koe.",hate speech
"USER Lambemu lamis USER ....  Semua orang pun tahu, bahwa elu cuma bela yang bayar elu... Dasar anak buah Hasto...!!! https://t.co/ShBMACikdp","USER Cangkemu lamis, USER... Semua juga tahu, elu cuma pasang badan buat yang ngupahi elu. Dasar antek Hasto!!! https://t.co/ShBMACikdp","USER Omonganmu lamis, USER... Wong kabeh wis paham, elu cuma bela yang ngasih duit ke elu. Emang anak buahnya Hasto!!! https://t.co/ShBMACikdp","USER Lambemu lamis tenan, USER. Orang2 juga ngerti, elu cuma ngejilat yang bayar elu. Kacung Hasto dasar!!! https://t.co/ShBMACikdp","USER Cangkemu lamis pol, USER... Semua orang udah tahu, elu cuma bela yang ngegaji elu. Budaknya Hasto, dasar!!! https://t.co/ShBMACikdp","USER Lamis tenan kowe, cangkemu, USER... Semua pun paham, elu cuma nurut sama yang bayar elu. Suruhannya Hasto!!! https://t.co/ShBMACikdp",hate speech
USER Ngomong sampai mencos lambemu tetep ae kui sing d tembak wedok bawa bendera putih. Dasar ogeb,"USER Opo kowe ngomong nganti mencos lambemu, tetep wae sing ketembak kui wedok nggawa bendera putih. Dasar goblok.","USER Bacotmu nganti mleyot lambemu, faktane sing ditembak ya wedok sambil bawa bendera putih. Dasar ogeb.","USER Kowe ngoceh sak akeh-akehe, tetep wae sing ditembak iku cewek ngibarin bendera putih. Tolol tenan.","USER Celotehmu nganti mbengkong lambemu, nyatane sing ditembak wedok nggawa bendera putih. Dasar bego.","USER Ngomong terus sampek mimpes lambemu, isih wae sing ketembak kuwi wedok bawa bendera putih. Dungu koe.",hate speech
"USER Dasar pekok, cuman dapat 16% lowbat, tidak menang di satu propinsipun, masih ngeyel. 😂😂 https://t.co/cLCZMwTWDY","USER Dasar pekok, cuma 16% lowbat, sak propinsi wae ora menang, isih wae ngeyel. 😂😂 https://t.co/cLCZMwTWDY","USER Pekok tenan, olehmu mung 16% lowbat, ora menang siji propinsi pisan, kok isih ngotot. 🤣 https://t.co/cLCZMwTWDY","USER Goblok ra mutu, 16% tok, lowbat pol, ora ono siji propinsi sing kowe menang, tetep wae ngeyel. 😅 https://t.co/cLCZMwTWDY","USER Tolol, dapat 16% doang, lowbat, sak propinsi wae gak iso menang, masih aja ndableg. 🙄 https://t.co/cLCZMwTWDY","USER Bloon, 16% tok lowbat, nang sak propinsi wae ora menang, tetep ngotot bae. 😂 https://t.co/cLCZMwTWDY",hate speech
"USER Plg disogok cuan panitianya. Gpp dek lu ttp pemenangnya tenang j d buktinya jg, panitia j yg picek mtanya.","USER Plg disuap cuan panitianya. Gpp dek, lu ttp pemenang, santai wae j, buktine ono jg, panitiae kuwi mripate picek.","USER Paling disogoki duit karo panitia. Gpp dek lu ttp juara, tenang wae, wis ana buktine, panitia sing wuta matane.","USER Kayak panitianya plg kena sogok cuan. Gpp dek, kowe tetep menang, santuy j, buktine jelas, panitia tok sing picek mripate.","USER Panitiae disogok cuan tuh. Ora popo dek, lu ttp pemenang kok, tenang wae, buktine ono, panitianya wae matane picek.","USER Palingan disuap duit panitianya. Gpp dek, kowe tetep juarane, ojo khawatir, bukti wis cetho, panitia kuwi wuta mripate.",hate speech
"USER ️️ ️️ 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah di omong di sini. 😩 Asu asu. Nambah usia gua mek. Si anying, jangan di sini asu. ️️","USER LOUIS. Si bajigur, kok malah ngomong neng kene. 😩 Asu, asu. Tambah umur gue mek. Si anying, ojo nang kene, asu.","USER 𝐋𝐎𝐔𝐈𝐒, si bajigur. Kenapa malah diomongin nang kene sih. Asu asu. Nambah usia gue mek. Si anying, jangan di sini lah, asu.","USER LOUIS — si bajigur, kok dijembreng nang kene. 😩 Asu tenan. Nambah umur gua mek. Si anying, ojo nang kene, asu.","USER 𝐋𝐎𝐔𝐈𝐒. Si bajigur, malah dibahas di sini. 😩 Asu pol. Nambah usia gue mek. Si anying, jangan nang kene, asu.","USER 𝐋𝐎𝐔𝐈𝐒. Si bajigur, kok malah curhat neng kene. 😩 Asu asu. Nambah umur gue mek. Si anying, aja nang kene, asu.",not hate speech
"gw emg kudu gak berbaik hati sm fandom satu ini, orang orangnya pada gemblung. ga ina ga inter gemblung kabeh","Gw emang ora wajib baik sm fandom ini, wong-wonge gemblung kabeh; ora INA ora inter tetep gemblung.","Gue ga bakal berbaik hati ke fandom satu ini, orang2nya pada gemblung; mau INA atau inter ya gemblung kabeh.","Gw jelas kudu keras aja sm fandom ini, soale isine wong-wong gemblung; ga INA ga inter podo gemblung kabeh.","Gw ogah baik-baik sama fandom ini, kabeh anggotane gemblung; INA maupun inter tetep gemblung.","Gue dari awal emg ga niat baik ke fandom ini, wong2e gemblung kabeh; ora INA ora inter isih wae gemblung.",hate speech
"Emang jancok, iso isoe wong mu dewe mbok etrek etrek kyk ngene","Jancok tenan, kok iso-isonya awakmu dewe mbok etrek-etrek koyo ngene.","Emang jancok, kowe iki wongmu dewe kok iso dipermainkan, mbok etrek-etrek kayak gini.","Asu, kok iso kowe dewe digawe dolanan ngene, jancok.","Jancok, awakmu dhewe kok gelem wae mbok etrek-etrek koyo ngono iki.","Bangsat, iso-isonya wongmu dewe mbok etrek-etrek kaya ngene, jancok.",hate speech
"USER Agama itu spt Candu yg efeknya lupadiri Diberi saran agar hidup sehat malah marah2 &amp nuduh penistaan, Pe Ka i, dlsb Padahal obat candu itu banyak &amp mudah ditemukan spt seni suara, seni tari dll Candu emg bikin orang Bingung, linglung, gemblung ☺😂😘 https://t.co/Q0X9nMCfqh","Agama kuwi koyo candu, efeké nggawe wong lali diri. Disaranin urip sehat malah nesu2 lan nuduh penistaan, Pe Ka I, lsp. Padahal obat candu kuwi akèh & gampang ditemokké: seni swara, seni tari, dll. Candu pancen gawe wong bingung, linglung, gemblung.","Agama itu mirip candu, efeknya sampe lupadiri. Dikasih saran biar hidup sehat eh malah marah2 sambil nuduh penistaan, PKI, dsb. Padahal obat candu banyak & gampang dicari, spt seni suara, seni tari, dll. Candu emg nggawe uwong bingung, linglung, gemblung.","Agama tak ibaratke candu, akibaté nggawa wong lali karo awake dhewe. Wektu diwenehi saran urip sehat kok malah ngamuk2 lan nuduh penistaan, Pe Ka I, dlsb. Padahal obat candu ana akèh & gampang goleké—contoh: seni swara, seni tari. Candu tenan gawe bingung, linglung, gemblung.","Agama = candu; efeké nggawe lali diri. Dapet saran supaya hidup sehat, malah nesu2 trus nuduh penistaan, PKI, dll. Padahal anti-candu kuwi akèh & gampang ditemokké, misal seni suara, seni tari. Candu pancen nggawe wong bingung, linglung, gemblung ☺😂😘","Agama ku pikir koyo candu sing nyebabké lupadiri. Disuguhi saran urip sehat, kok yo malah marah2 nuduhi penistaan, Pe Ka I, lsp. Padahal obat candu ana akèh & gampang ditemokké, kaya seni swara, seni tari, dll. Candu emang gawe uwong bingung, linglung, gemblung.",not hate speech
Pingin nikahin yang spek begini tapi kelakuan anda para boyo seperti asu kirik dog,"Pengen nikahin yang spek gini, tapi tingkah kalian para boyo koyok asu kirik, dog","Mau nikahin yang spek begini, nanging kelakuan kalian para boyo persis asu kirik dog","Pingin nikah karo sing spek ngene, tapi polah kalian para boyo kaya asu kirik, dog","Pengen nikahane sing spek ngono, tapi tabiat kalian para boyo yo kaya asu kirik dog","Mau nikahin yang spek gini, tapi perangai kalian para boyo ora adoh saka asu kirik, dog",hate speech
"Dia ngetik begini di qrt tweet yang nunjukin data, lu pikir prediksi dapet data dari mana? lambe mu?","Dia nulis gini di QT tweet yang nunjukin data, lo kira prediksi ngambil data dari mana? cangkemmu?","Doi qrt tweet yang nampilin data terus ngetik begini, elu pikir prediksi dapat data darimana? lambe mu?","Di quote-retweet yang bawa-bawa data dia ngetik begini, lo mikir prediksi dapet datanya dari mana? saka cangkemmu?","Dia qrt tweet yang jelas-jelas ada data, lo kira prediksi itu ngambil data dari mana? soko lambe mu?","Nge-QRT tweet yang show data tapi dia nulis gitu, lo pikir prediksi datanya asal dari mana? cangkemmu ta?",hate speech
USER Lebih kentel kan kalo bangsat apalagi asyuu😭 klo jancok nih kga biasa buat misuh 😭 soalnya klo manggil besti gue pke cok,"Luwih kenthel rasane nek ngomong ""bangsat"", luwih maneh ""asyuu"" 😭; ""jancok"" aku ora biasa kanggo misuh 😭, soale nek nyebut besti tak panggil ""cok"".","Menurut gue, ""bangsat"" kerasa paling kentel, apalagi ""asyu"" 😭. ""Jancok"" mah aku gak kebiasa buat misuh 😭, soalnya kalo manggil besti gue pakenya ""cok"".","""Bangsat"" lebih nyelekit, terus ""asyuu"" malah tambah pedes 😭; tapi ""jancok"" aku jarang tak gawe misuh 😭, soale kalo nyapa besti biasane ""cok"".","Lebih nendang sih bilang ""bangsat"", luwih-luwih ""asyu"" 😭. ""Jancok"" aku ra umum kanggo misuh 😭, soale kalo manggil besti ya ""cok"".","Rasa kenthel-e ana pas sebut ""bangsat"", utamane ""asyuu"" 😭. ""Jancok"" ora tak gawe kanggo misuh biasane 😭, soale nek ngundang besti gue tak sebut ""cok"".",not hate speech
"Dasar pekok bin goblok, ngenget jangan nganti gosong. Malah ditinggal garap gawean 😭😭😭","Dhasar pekok bin goblok, ngangetno jangan ojo nganti gosong. Kok malah ditinggal nggarap gawean 😭😭😭","Pekok pol, goblok tenan, panasin jangan-e ojo nganti gosong. Eh malah ditinggal ngerjain kerjaan 😭😭😭","Memang bego, pekokmu ora ketulungan; ngangatke jangan ojo nganti gosong. Malah kok ditinggal garap gawean 😭😭😭","Cah ndlogok, goblok, ngangetno jangan iku ojo nganti gosong, malah ditinggal nggarap gawean liyane 😭😭😭","Tolol pekok, ngangetke jangan ojo nganti gosong, kok malah ditinggal ngurus kerjaan 😭😭😭",hate speech
Jancok emng dasar hp kentang problem nya kalo ga memo penuh ya keriset 😭😭😭😭😭,"Jancok iki hp kentang tenan, masalah e kalo gak memori penuh ya auto ke-reset 😭😭😭","Jancuk, dasar hp kentang, problem e ra ono obat: kalo ga memo penuh mesti ke-reset terus 😭😭","Jancok hp kentang ki, masalahnya kalo ora memori penuh yo keriset wae 😭😭😭","Jancok emang hp kentang, isune kalo bukan memo penuh ya langsung ke-reset mulu 😭😭","Jancok, hp kentang ra nggenah, kalo ga memori full yo kreset terus wae 😭😭😭",not hate speech
W KALAU JADI YUUJI UDAH BLG MAHITO ANJING LO KONTOL BANGSAT NGENTOOTTTT,"W nek dadi Yuuji, wes tak ngomong: Mahito, anjing lu, kontol, bangsat, NGENTOT!","Kalo aku dadi Yuuji, tak bentak: Mahito, asu kowe, kontol, bangsat, ngentottt!","Seandainya jadi Yuuji, w wis bilang: Mahito, anjing lo, bangsat, kontol, NGENTOOOT!","W nek Yuuji yo langsung tak ucapke: Mahito, asu koe, kontol bangsat, ngentot!","Andai gue dadi Yuuji, langsung tak ngomongi: Mahito, anjing lo, bangsat kontol, ngentot!",hate speech
USER USER USER USER USER USER Ada yang ngekor yang mecla mencle cangkeme pun juga ada ndro🤣 https://t.co/NkDWwQ2axt,"USER USER USER USER USER USER Ana sing mung ngekor, cangkeme mecla-mencle yo ana wae, ndro 🤣 https://t.co/NkDWwQ2axt","USER USER USER USER USER USER Wong sing ngikut terus, cangkeme plin-plan ora genah, tetep ana, ndro 🤣 https://t.co/NkDWwQ2axt","USER USER USER USER USER USER Ngekornya doang, cangkeme mecla-mencle, model ngono ya ana terus, ndro 🤣 https://t.co/NkDWwQ2axt","USER USER USER USER USER USER Koyok biasane, sing mbuntut thok karo cangkeme plin-plan ya muncul wae, ndro 🤣 https://t.co/NkDWwQ2axt","USER USER USER USER USER USER Ngikut wae, cangkeme mecla-mencle ora jelas, tetep ana wae, ndro 🤣 https://t.co/NkDWwQ2axt",hate speech
USER Yup kalo gemblung tuh gila,"USER Iya, nek gemblung kuwi ya gila.","USER Yup, gemblung iku artine gila.","USER Betul, kalo dibilang gemblung ya podo wae gila.","USER Iyo, nek ngomong gemblung kuwi tegese gila.","USER Ya, gemblung itu yo gila kok.",not hate speech
infokan lagi trip seperti ini walaupun naik turunnya macet banget jancok https://t.co/AOFUNci85s,"Tolong kabarin maneh trip model ngene, senajan pas naik-turun macet pol, jancok https://t.co/AOFUNci85s","Info maneh yo trip koyok ngene, meskipun bagian naik turun macet banget, jancuk https://t.co/AOFUNci85s","Minta diinfokan ulang trip beginian, walau pas naik turun macet parah, cok https://t.co/AOFUNci85s","Kasih info lagi soal trip kaya gini, biarpun naik-turune macet abis, jancok tenan https://t.co/AOFUNci85s","Update lagi ya trip semacam ini, sanadyan pas naik turun macet ora karuan, jancok https://t.co/AOFUNci85s",not hate speech
"BAYANGIN TD UDAH NGERJAIN 65 SOAL, TRS DIRUMAH LANJUT 25 SOAL GENDENG TOTAL SEJARAH HARI INI 90 SOAL COOO NGOTAK DIKIT.","Bayangno bar td wis garap 65 soal, trs neng omah lanjut 25 maneh. Gendeng, total sejarah dina iki 90 soal, cooo, ngotak sithik o.","Tadi aja udah ngerjain 65 soal, trus di rumah lanjut 25 lagi. Edan, total sejarah hari ini 90 soal, cooo, mbok yo ngotak dikit.","Coba bayangin, td kelar 65 soal, trus tekan omah nambah 25 maneh. Gendeng tenan, total pelajaran sejarah hari ini 90 soal, cooo, ngotak sek le.","Td udah garap 65 soal, trs neng omah lanjut 25 soal maning. Edan pol, total sejarah saiki 90 soal, cooo, otakne dipake dikit lah.","Bayangin woi, td 65 soal rampung, trus di rumah tambahi 25. Gendeng, total sejarah hari ini jadi 90 soal, cooo, ngotak dikit dong.",not hate speech
"eh telek join lewat web gabisa cek usn jd hanya berpengang sm total stream, kalo naik brrti aman, lah ini 2 2 nya kaga bisaa trus aku gudu pieeeeeeee, user andro join lewat apk msal dah off air ttp di ch yg ditempatin kaga bakal kelempar otomatis, harus mandiri mindahin😭😭☝","eh telek, join via web ora iso cek usn, jadine mung ngandel total stream; nek nambah berarti aman. Tapi saiki loro-lorone malah ga jalan, aku kudu piyeeeee. User andro join pakai apk, misal udah off air tetep neng ch sing ditempatin, ora kelempar otomatis, kudu mindahke dewe 😭😭☝","telek iki, lewat web join gabisa ngecek usn jadi cuma berpatokan ke total stream; kalo naik ya aman. Lah kok saiki dua2nya zonk, aku kudu piyeeeeee. Pengguna Android join dari apk, pas udah off air tetep nang channel penempatan, kaga auto kelempar, kudu mindahin manual 😭😭☝","eh telek, join web ra iso cek usn, jadine ngandel total stream tok; nek nambah berarti aman. Saiki malah loro2e ora iso, aku piye iki woyyyyy. User andro kalo join lewat apk, wis off air tetep ning ch penempatan, ora kelempar otomatis, musti dipindah sendiri 😭😭☝","telek tenan, join dari web gabisa cek usn, jadi pegangan cuma total stream; kalo naik brarti aman. Eh iki malah dua-duanya ga kepake, aku kudu piyeeeee. User Android join via apk, meski udah off air tetep di ch penempatan, ga bakal kelempar auto, kudu mindah manual 😭😭☝","astagah telek, join lewat web gak iso cek usn, jadinya cuma ngandel total stream doang; naik berarti aman. Saiki kok 2-2ne ora bisa, aku kudu piyeeee. User andro kalo join pake apk, udah off air tetep nang ch sing ditempatin, gak kelempar otomatis, harus mindahin dewe 😭😭☝",not hate speech
becky gak pernah pura pura menjadi queer.dan setidaknya becky gak pernah ngejek lesbian gak kayak freen. bukan lesbi kok ngebuat bercandaan soal lesbian. dasar artis pekok 🤡,"Becky ora tau pura-pura dadi queer; paling ora Becky ora tau ngenyek lesbian, ra kaya Freen. Dudu lesbi kok malah gawe guyonan soal lesbian. Dasar artis pekok 🤡","Becky gak pernah sok-sokan jadi queer, dan setidaknya dia gak pernah ngecengin lesbian, beda karo Freen. Bukan lesbi tapi ngledek-gledek lesbian. Artis pekok tenan 🤡","Becky tuh gak pernah acting jadi queer; minimal dia ora ngina lesbian, ora koyok Freen. Dudu lesbi kok nglawakno lesbian. Memang artis pekok iki 🤡","Becky ra tau ngaku-aku queer, seenggaknya Becky ra tau nyindir lesbian, gak podo karo Freen. Bukan lesbi kok seenake dhewe ngejokesin lesbian. Dasar artis pekok 🤡","Becky gak pernah pura-pura queer, paling ora dia ora tau ngejek komunitas lesbian, ora kaya Freen. Dudu lesbi tapi nggawe candaan soal lesbian. Dasar artis pekok koe 🤡",hate speech
"YANG BUAT SESUKA HATI TU SIAPA JANCOK???!!! KAN UDAH DIBILANG BARU PERTAMA BUAT, BELUM BEGITU PAHAM MASIIIIHHH LA JUGA DIBILANG MAIN SESUKA HATI.. DASAR!!!!!","SING GAWE SAK KAREPMU KUWI SIAPA, JANCOK?! Kan udah dibilang iki baru pertama buat, durung paham blas, kok isih wae dibilang main sesuka hati. Dasar!","Siapa sing ngono gawe sak karep dewe, JANCOK!!! Udah dibilang ini pertama kali bikin, iseh ra paham tenan, lah malah dibilang main seenaknya. Dasar!","JANCOK, sopo sing gawe sak karepe dhewe?! Kan udah dibilang baru pertama buat, durung paham-paham, kok yo malah disebut main sesuka hati. Dasar!!!","Heh, sing main sak karep kuwi sopo, JANCOK? Dari tadi udah dibilang baru pertama bikin, isih durung paham, lha kok tetep wae dibilang main sesuka hati... DASAR!","Sopo sih sing sok-sokan gawe sak karepmu, JANCOK??? Udah kubilang ini masih pertama kali, ra begitu paham, lha kok isih wae dibilang main sesuka hati. Dasar!",hate speech
"Udah lh rapat pagi , titipan dari taksi blom datang , llu ndk bisa tidur eh asu lah","Sudahlah ada rapat pagi, paketan dari taksi belum nyampe, terus aku ra iso turu, asu tenan","Udah lah pagi-pagi kudu rapat, kiriman via taksi nggak kunjung datang, jadinya ora iso turu, eh asu lah","Pagi ini rapat lagi, titipan taksi belum tiba, terus ndak bisa tidur, asu iki","Rapat pagi wis nunggu, barang titipan dari sopir taksi belum sampe, aku malah ora isa turu, asu kok","Meeting pagi wis dijadwal, kiriman lewat taksi belum dateng-dateng, akhirnya ra iso turu, asu wes",not hate speech
"USER Berarti ras eropa itu memang parasit. Dia datang dan memusnahkan penduduk aslinya. Dari semua ini musuh bersama kita sama yaitu Zionis, Mamarica, dan Silit Global",,,,,,hate speech
